query,sku,score,clause_0,clause_1,clause_2,clause_3,clause_4,Feature 0(name_match),Feature 1(name_match_phrase),Feature 2(customerReviewAverage),Feature 3(customerReviewCount),Feature 4(artistName_match_phrase),Feature 5(shortDescription_match_phrase),Feature 6(longDescription_match_phrase),Feature 7(salesRankShortTerm),Feature 8(sku_terms),clause_5,clause_6
iPod touch,1328383,1072.1898,0.08216492,879.28076,175.85617,16.610664,0.36000264,8.216492,4.8612537,4.8,6.0,0.0,8.008602,5.806567,0.0,0.0,0.0,0
iPod touch,9899706,1072.1912,0.08216492,879.28076,175.85617,16.610664,0.3614426,8.216492,4.8612537,0.0,0.0,0.0,7.103469,8.290394,0.0,0.0,0.0,0
iPod touch,1207936,968.3497,0.07793341,794.0227,158.80453,15.0883465,0.001,7.7933407,4.5677814,3.0,19.0,0.0,6.723522,7.4704857,0.967919,0.0,0.35513625,0
smallville,13863562,833.0127,0.036,695.94196,0.13184287,0.44371152,136.4592,13.184287,13.184287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
smallville,7504701,569.9724,0.065,476.02533,0.092537954,0.45127735,93.33829,9.253796,9.253796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
smallville,5319078,536.10614,0.08,447.72894,0.08611947,0.42112312,87.78998,8.611948,8.611948,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
smallville,3224054,536.07715,0.051,447.72894,0.08611947,0.42112312,87.78998,8.611948,8.611948,5.0,2.0,0.0,0.0,0.0,4.172378e-06,0.0,0.0,0
smallville,8955473,506.05917,0.072,422.60797,0.08053362,0.43436834,82.86429,8.053364,8.053364,4.6,10.0,0.0,0.0,0.0,8.361262e-08,0.0,0.0,0
zonealarm,1256446,0.41486394,0.037,0.37786394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
zonealarm,9506652,0.37733367,0.019,0.35833368,0.0,0.0,0.0,0.0,0.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0
wi,18807979,542.52057,0.09761251,0.4773883,444.30606,97.6125,0.027,9.7612505,9.7612505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
wi,1438149,496.09363,0.07578737,0.44467032,414.33167,81.24151,0.0,7.5787373,7.5787373,4.9,16.0,0.0,0.0,6.191237,0.14345811,0.0,0.0,0
wi,7028539,415.6164,0.07053073,0.38505936,344.5901,70.53072,0.04,7.053073,7.053073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dvd case,9216742,213.6469,0.054148436,173.01105,34.60222,5.602816,0.011,5.4148436,3.3221579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36567038,0
dvd case,6621863,33.7148,0.054148436,33.221573,0.065,0.37407982,0.0,5.4148436,3.3221579,4.2,5.0,0.0,0.0,2.7900972,0.5123736,0.0,0.0,0
dvd case,7876738,29.202911,0.062219784,22.839157,5.9358635,0.36567038,0.0,6.2219787,2.2839155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dvd case,5662106,26.024782,0.062219784,18.860123,6.7367697,0.36567038,0.0,6.2219787,1.8860121,0.0,0.0,0.0,0.0,0.0,2.6144007e-13,0.0,0.0,0
dragonball z,8776434,791.1127,0.122598365,647.97736,129.59547,12.959546,0.014,12.259837,12.259836,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44371152,0
dragonball z,6002434,747.0899,0.122598365,611.62085,122.59836,12.232417,0.072,12.259837,12.259836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44371152,0
dragonball z,6002416,747.0759,0.122598365,611.62085,122.59836,12.232417,0.058,12.259837,12.259836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44371152,0
dragonball z,6758895,671.51575,0.108520694,549.91223,109.98244,10.998243,0.101,10.852069,10.85207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41333723,0
dragonball z,9308055,550.519,0.13110185,405.85535,131.10184,12.959546,0.029,13.110184,13.110184,5.0,5.0,0.0,0.0,0.0,3.5173198e-05,0.0,0.44217464,0
dragonball z,9160962,513.2831,0.122598365,377.72852,122.59836,12.232417,0.159,12.259837,12.259836,5.0,3.0,0.0,0.0,0.0,1.1270878e-16,0.0,0.44217464,0
ac,7045805,342.3142,262.13864,0.079690956,0.4049173,79.690956,0.0,7.9690957,7.9690957,4.4,5.0,0.0,6.4822197,7.556245,3.9344345e-14,0.0,0.0,0
ac,9355743,300.44632,226.7691,0.07327329,0.33065584,73.27329,0.0,7.3273296,7.3273296,3.5,2.0,0.0,0.0,5.057825,0.8728729,0.0,0.0,0
ac,2663167,299.3508,243.49196,0.05542075,0.38266057,55.420746,0.0,5.542074,5.542074,0.0,0.0,0.0,0.0,0.0,2.043477e-11,0.0,0.0,0
Alienware,1407228,540.4189,451.3813,0.4272712,88.506134,0.081190586,0.023,8.119059,8.119059,3.8,4.0,0.0,0.0,0.0,2.9036813e-30,0.0,0.0,0
Alienware,3655632,485.11325,403.42035,0.42112312,81.19058,0.081190586,0.0,8.119059,8.119059,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alienware,3612116,416.61407,347.9619,0.36302704,68.22781,0.061307922,0.0,6.1307926,6.1307926,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
spider-man 3,16726054,1210.192,0.12907231,990.55676,198.11134,20.897142,0.054,12.907232,12.907232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44371152,0
spider-man 3,9237202,506.67075,0.12166177,373.54663,112.67293,19.957066,0.37244853,12.166178,7.274624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
spider-man 3,3078086,16.777323,0.109130606,16.319027,0.34916607,0.0,0.0,10.913061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
software,18189167,496.1683,0.081455536,81.455536,0.034,414.20358,0.39373466,8.145554,8.145554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
software,2327584,436.95786,0.06560552,71.560905,0.011,364.96063,0.35971272,6.5605526,6.5605526,3.0,2.0,0.0,0.0,4.2788982,0.0,0.0,0.0,0
software,9611393,392.21765,0.06560552,65.60552,326.1822,0.3643219,0.0,6.5605526,6.5605526,4.0,1.0,0.0,0.0,4.1848593,0.0,0.0,0.0,0
wireless speaker,1211757,744.7483,0.11790866,609.8754,121.97508,12.197509,0.087,11.790866,11.790866,4.2,23.0,0.0,0.0,1.9650049,0.0,0.0,0.49535036,0
wireless speaker,2968053,697.54694,0.10912094,571.33154,114.2663,11.42663,0.41333723,10.912094,10.912094,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
wireless speaker,2053402,63.802612,0.10155226,63.30208,0.029,0.36998135,0.0,10.155226,6.330208,3.6,38.0,0.0,0.0,2.9996595,0.6764816,0.0,0.0,0
wireless speaker,9825206,0.45523518,0.038901515,0.058,0.35833368,0.0,0.0,3.890152,0.0,2.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sony cyber-shot dsc-tx10,2255038,24.564638,0.15312882,23.966972,0.44453618,0.0,0.0,17.274086,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xbox live,1272605,611.28186,0.09212126,500.6416,100.12831,10.012833,0.019,9.212127,9.212127,4.9,9.0,0.0,14.564478,11.658613,0.99864125,0.0,0.38800433,0
xbox live,1272271,611.2629,0.09212126,500.6416,100.12831,10.012833,0.38800433,9.212127,9.212127,5.0,3.0,0.0,14.564478,11.658613,0.9624075,0.0,0.0,0
xbox live,3118203,481.51184,0.075287715,394.25146,78.850296,7.88503,0.019,7.5287714,7.5287724,3.8,5.0,0.0,14.068952,9.520337,0.49793187,0.0,0.43074742,0
xbox live,1401794,397.19687,0.06053802,325.15387,65.03078,6.5030775,0.014,6.0538025,6.0538025,5.0,1.0,0.0,0.0,11.822661,0.000436259,0.0,0.43461183,0
ipod,8033629,328.53568,0.048201114,53.795746,0.002,274.3583,0.33143228,4.8201113,4.8201113,4.3,39.0,0.0,5.221298,4.744057,0.6527635,0.0,0.0,0
ipod,2613093,328.52054,0.048201114,53.795746,0.001,274.3583,0.31727585,4.8201113,4.8201113,5.0,1.0,0.0,0.0,4.111533,0.0,0.0,0.0,0
ipod,9899697,328.5397,0.048201114,53.795746,274.3583,0.33745313,0.0,4.8201113,4.8201113,5.0,3.0,0.0,4.311777,4.6840076,0.42954272,0.0,0.0,0
ipod,9084206,328.54382,0.045265146,53.795746,0.001,274.3583,0.34350675,4.526515,4.526515,3.4,90.0,0.0,5.3924437,0.0,0.9998217,0.0,0.0,0
ipod,8189042,328.55737,0.045265146,53.795746,274.3583,0.35804117,0.0,4.526515,4.526515,4.5,20.0,0.0,0.0,5.0004845,0.0,0.0,0.0,0
ipod,15198992,310.14722,0.048201114,50.77739,0.001,258.9647,0.35594696,4.8201113,4.8201113,0.0,0.0,0.0,0.0,0.0,2.8e-45,0.0,0.0,0
ipod,1658265,293.67078,0.045265146,48.079742,0.001,245.2067,0.33806157,4.526515,4.526515,5.0,1.0,0.0,4.4536495,5.068982,0.0,0.0,0.0,0
camera cases,9773712,91.82339,0.0912659,91.2659,0.46622443,0.0,0.0,9.126591,9.12659,4.2,53.0,0.0,0.0,6.8242497,0.9981964,0.0,0.0,0
casio,17007828,638.07965,0.09971932,104.513664,0.43056107,533.0197,0.016,9.971932,9.971932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,9468453,638.06366,0.09971932,104.513664,0.43056107,533.0197,0.0,9.971932,9.971932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,9939878,638.06366,0.09971932,104.513664,0.43056107,533.0197,0.0,9.971932,9.971932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,1558044,588.3481,0.09098538,96.3631,0.44217464,491.4518,0.0,9.098538,9.098538,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,3395221,545.7949,0.08365816,89.39181,0.42121193,455.89825,0.0,8.365816,8.365816,4.0,2.0,0.0,0.0,0.0,0.00024806103,0.0,0.0,0
casio,8791042,545.79486,0.08365816,89.39181,0.42112312,455.89825,0.0,8.365816,8.365816,4.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,3106138,509.01068,0.077423126,83.36114,0.42229143,425.1418,0.008,7.7423134,7.7423134,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,3106226,508.91904,0.077423126,83.36114,0.33866322,425.1418,0.0,7.7423134,7.7423134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,9820826,476.82382,0.07205302,78.092735,0.37801245,398.273,0.008,7.205303,7.205303,3.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,3106687,476.82285,0.07205302,78.092735,0.38505936,398.273,0.0,7.205303,7.205303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,3106723,423.35608,0.063275404,69.32953,0.38266057,353.58063,0.0,6.3275404,6.3275404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
casio,8021936,52.358856,51.992523,0.35833368,0.008,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.933298,10.398505,0.0,0.0,0.0,0
Sony vaio 13,3519978,55.85498,0.085599475,42.322388,12.980333,0.46665946,0.0,9.289132,0.0,4.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0
apple tv,1074778,837.3321,0.109079644,685.8361,137.16724,13.7167225,0.054,10.907965,7.080763,5.0,1.0,0.0,0.0,8.206114,0.0,0.0,0.44892296,0
apple tv,2965074,36.15362,0.038790315,35.695995,0.41883507,0.0,0.0,3.8790317,0.0,4.5,76.0,0.0,7.1391993,0.0,0.97107685,0.0,0.0,0
apple tv,8791319,30.017962,0.043822326,29.54044,0.4337002,0.0,0.0,4.382233,0.0,4.3,160.0,0.0,5.9080887,0.0,0.7751348,0.0,0.0,0
apple tv,15179977,0.43784547,0.059175093,0.013,0.36567038,0.0,0.0,5.9175096,0.0,0.0,0.0,0.0,0.0,0.0,7e-45,0.0,0.0,0
Bluetooth headphones,1535284,860.9147,0.14122495,704.9821,141.22496,14.099642,0.023,14.122496,14.122496,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44371152,0
Bluetooth headphones,3724696,860.89166,0.14122495,704.9821,141.22496,14.099642,0.44371152,14.122496,14.122496,0.0,0.0,0.0,0.0,3.803955,0.0,0.0,0.0,0
Bluetooth headphones,9740214,51.05423,0.11374472,39.36139,11.103362,0.055,0.4207323,11.374472,3.93614,3.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bluetooth headphones,9740232,50.948723,0.11374472,39.36139,11.103362,0.015,0.35522798,11.374472,3.93614,3.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bluetooth headphones,9740223,51.007927,0.11374472,39.36139,11.103362,0.012,0.41743276,11.374472,3.93614,5.0,1.0,0.0,0.0,4.080714,0.0,0.0,0.0,0
Bluetooth headphones,1247988,0.52784103,0.0827152,0.026,0.41912583,0.0,0.0,8.27152,0.0,3.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0
iPod speaker,1997075,68.35578,0.09080558,50.2267,17.707943,0.3303315,0.0,9.080559,1.8476086,3.5,2.0,0.0,0.0,0.0,3.5930956e-11,0.0,0.0,0
iPod speaker,1433135,67.360664,0.08559208,50.860397,16.007124,0.039,0.36855137,8.559209,1.9621906,5.0,1.0,0.0,0.0,2.5580158,0.0,0.0,0.0,0
iPod speaker,9251454,64.00345,0.08559208,46.6597,16.814632,0.4435246,0.0,8.559209,1.7001171,4.3,62.0,0.0,0.0,0.0,3.551662e-05,0.0,0.0,0
iPod speaker,1160608,63.551064,0.08094476,47.735123,15.273622,0.039,0.4223756,8.094477,1.8185768,4.5,2.0,0.0,0.0,0.0,0.87248194,0.0,0.0,0
iPod speaker,2256595,63.47923,0.076776095,47.735123,15.273622,0.39370733,0.0,7.6776094,1.6945457,3.4,8.0,0.0,0.0,0.0,0.852148,0.0,0.0,0
iPod speaker,2878045,60.01368,0.08559208,43.565735,16.007124,0.35522798,0.0,8.559209,1.7001171,3.3,4.0,0.0,0.0,1.9817619,4.848327e-06,0.0,0.0,0
iphone 4s,3721653,788.3567,0.107571535,642.6395,128.5279,16.666836,0.4148427,10.7571535,6.4321136,4.2,32.0,0.0,9.968933,11.751962,0.0,0.0,0.0,0
iphone 4s,3566775,745.8335,0.101730816,607.76917,121.55386,15.903102,0.5056378,10.173082,6.018862,4.5,88.0,0.0,0.0,7.0985756,0.96331704,0.0,0.0,0
iphone 4s,3566902,745.7936,0.101730816,607.76917,121.55386,15.903102,0.46572855,10.173082,6.018862,4.3,24.0,0.0,0.0,7.0985756,0.104784235,0.0,0.0,0
iphone 4s,3566948,745.8138,0.101730816,607.76917,121.55386,15.903102,0.4859443,10.173082,6.018862,4.7,20.0,0.0,0.0,7.0985756,0.00023785213,0.0,0.0,0
iphone 4s,3566966,745.81006,0.101730816,607.76917,121.55386,15.903102,0.48222524,10.173082,6.018862,4.4,86.0,0.0,0.0,7.0985756,0.96912795,0.0,0.0,0
iphone 4s,3814088,745.7556,0.101730816,607.76917,121.55386,15.903102,0.42776486,10.173082,6.018862,4.0,4.0,0.0,0.0,7.0985756,0.00022288406,0.0,0.0,0
iphone 4s,3814033,745.7724,0.101730816,607.76917,121.55386,15.903102,0.44453618,10.173082,6.018862,4.4,11.0,0.0,0.0,7.0985756,4.8701286e-12,0.0,0.0,0
iphone 4s,3812945,707.5609,0.101730816,576.4885,115.29767,15.206299,0.46665946,10.173082,6.018862,4.4,17.0,0.0,0.0,7.2943964,3.1934308e-06,0.0,0.0,0
